"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
5502,2,"CDC Rosie AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.014493,69,0.00995770408654266,100.424755677511
1053,2,"CDC Rosie AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.013333,75,0.0106769643843242,93.6595800083581
5304,3,"3156-11 AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.017544,57,0.0179452276795546,55.7251219018705
5542,3,"3156-11 AGL","2","Sutherland, Canada 2018","Su18",17.6,16.1,0.018519,54,0.0179452276795546,55.7251219018705
5882,3,"3156-11 AGL","3","Sutherland, Canada 2018","Su18",17.6,16.1,0.018868,53,0.0179452276795546,55.7251219018705
1386,3,"3156-11 AGL","1","Metaponto, Italy 2016","It16",10.6,10.8,0.007407,135,0.00703876410897656,142.070395387266
1470,3,"3156-11 AGL","2","Metaponto, Italy 2016","It16",10.6,10.8,0.007519,133,0.00703876410897656,142.070395387266
1954,3,"3156-11 AGL","3","Metaponto, Italy 2016","It16",10.6,10.8,0.007463,134,0.00703876410897656,142.070395387266
1363,3,"3156-11 AGL","1","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018519,54,0.0179614579872253,55.6747676447662
1554,3,"3156-11 AGL","2","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018519,54,0.0179614579872253,55.6747676447662
1941,3,"3156-11 AGL","3","Rosthern, Canada 2016","Ro16",17.2,16.2,0.018182,55,0.0179614579872253,55.6747676447662
240,3,"3156-11 AGL","1","Sutherland, Canada 2016","Su16",16.7,15.9,0.017544,57,0.0173071416263107,57.7796161602896
484,3,"3156-11 AGL","2","Sutherland, Canada 2016","Su16",16.7,15.9,0.016667,60,0.0173071416263107,57.7796161602896
1072,3,"3156-11 AGL","3","Sutherland, Canada 2016","Su16",16.7,15.9,0.016667,60,0.0173071416263107,57.7796161602896
4191,3,"3156-11 AGL","1","Cordoba, Spain 2016","Sp16",12.5,10.9,0.007874,127,0.00787437000910352,126.994286380232
4523,3,"3156-11 AGL","2","Cordoba, Spain 2016","Sp16",12.5,10.9,0.008403,119,0.00787437000910352,126.994286380232
