"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
2208,8,"CDC Imax AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,25,133,133,159,165,"Ne17",4.30275229357798,0.007519,108,32,19.4,10.8,76.1063967426462
2614,8,"CDC Imax AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,9,126,126,148,155,"Ne17",4.04587155963303,0.007937,117,29,19.4,10.8,76.1063967426462
2922,8,"CDC Imax AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,9,127,127,150,165,"Ne17",4.08256880733945,0.007874,118,38,19.4,10.8,76.1063967426462
1061,8,"CDC Imax AGL","1","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,120,120,136,166,"Mo17",3.56716417910448,0.008333,107,46,11.8,11.5,110.509448557852
1622,8,"CDC Imax AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,122,122,135,166,"Mo17",3.6865671641791,0.008197,109,44,11.8,11.5,110.509448557852
1956,8,"CDC Imax AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,120,120,134,166,"Mo17",3.56716417910448,0.008333,107,46,11.8,11.5,110.509448557852
283,8,"CDC Imax AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,139,139,153,174,"It17",4.01754385964912,0.007194,116,35,11.2,10.8,136.658694909463
410,8,"CDC Imax AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,19,139,139,161,170,"It17",4.01754385964912,0.007194,120,31,11.2,10.8,136.658694909463
965,8,"CDC Imax AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,18,138,138,160,173,"It17",3.94736842105263,0.007246,120,35,11.2,10.8,136.658694909463
2188,8,"CDC Imax AGL","1","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,61,61,78,92,"Us18",3,0.016393,43,31,15.8,14.3,58.4419379346619
2346,8,"CDC Imax AGL","2","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,56,56,78,85,"Us18",2.33333333333333,0.017857,38,29,15.8,14.3,58.4419379346619
