Entry,Name,Origin,Source,Lat,Lon,Synonyms
222,PI 358602 LSP AGL,Ethiopia,USDA,11.5,39.6,IG 626;ILL 626;HSG 0970
223,PI 368647 LSP AGL,Macedonia,USDA,41.54361111,22.54444444,DUKATINSKA
224,PI 368651 LSP AGL,Macedonia,USDA,NA,NA,IG 1935;ILL 1935;BRODSKA
225,PI 370481 LSP AGL,Serbia,USDA,42.99333333,20.52111111,IG 627;ILL 627;EDRA
226,PI 374116 LSP AGL,Morocco,USDA,31.75,-8.25,IG 1936;ILL 1936
227,PI 374117 LSP AGL,Morocco,USDA,31.75,-8.25,IG 1937;ILL 1937;IG 1938;ILL 1938
228,PI 374118 AGL,Morocco,USDA,31.75,-8.25,IG 1939;ILL 1939
229,PI 374120 LSP AGL,Morocco,USDA,31.75,-8.25,IG 1941;ILL 1941;ATC 70278
230,PI 374121 AGL,Morocco,USDA,31.75,-8.25,IG 1942;ILL 1942;IG 1943;ILL 1943
231,PI 379368 LSP AGL,Macedonia,USDA,41.85,21.8167,IG 1944;ILL 1944;IVANKOVSKA
232,PI 383682 LSP AGL,Turkey,USDA,NA,NA,IG 1955;ILL 1955;L-784;JS 0572
233,PI 420818 AGL,Greece,USDA,NA,NA,
234,PI 420924 LSP AGL,Jordan,USDA,32.1,35.73,
235,PI 420925 LSP AGL,Jordan,USDA,31.06555556,35.69611111,
236,PI 420929 LSP AGL,Jordan,USDA,31.13333333,35.64083333,
237,PI 426202 LSP AGL,Afghanistan,USDA,36.7,67.1,K-1069
238,PI 426778 LSP AGL,Pakistan,USDA,NA,NA,K-379
239,PI 426784 LSP AGL,Pakistan,USDA,30.06666667,73.06666667,K-485
240,PI 426797 LSP AGL,Pakistan,USDA,32.33333333,74.35,K-712
241,PI 426807 LSP AGL,Pakistan,USDA,34.6175,71.97138889,K-916
242,PI 431618 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10139
243,PI 431622 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10151
244,PI 431630 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10179
245,PI 431633 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10233
246,PI 431636 LSP AGL,Iran,USDA,NA,NA,IG 750;ILL 750;IG 883;ILL 883;IG 1010;ILL 1010;IG 1011;ILL 1011;RPIP 33-071-10408
247,PI 431643 LSP AGL,Iran,USDA,NA,NA,IG 528;ILL 528;IG 902;ILL 902;PI 329163;RPIP 33-071-10417
248,PI 431662 LSP AGL,Iran,USDA,NA,NA,IG 773;IG 906;IG 1029;ILL 906;ILL 1029;ILL 773;RPIP 33-071-10439
249,PI 431663 LSP AGL,Iran,USDA,NA,NA,IG 775;IG 908;IG 1030;ILL 775;ILL 908;ILL 1030;RPIP 33-071-10440
250,PI 431679 LSP AGL,Egypt,USDA,NA,NA,IG 1046;ILL 1046;P-454;RPIP 33-071-10458
251,PI 431684 LSP AGL,Iran,USDA,NA,NA,IG 1060;ILL 1060;IG 1061;ILL 1061;P-501;RPIP 33-071-10473
252,PI 431705 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10497
253,PI 431710 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10502
254,PI 431714 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10506
255,PI 431717 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10509
256,PI 431728 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10520
257,PI 431731 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10523
258,PI 431739 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10531
259,PI 431753 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10545
260,PI 431756 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10548
261,PI 431809 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10650
262,PI 431824 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10668
263,PI 431863 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10711
264,PI 431873 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10721
265,PI 431884 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10733
266,PI 431888 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10738
267,PI 431923 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10777
268,PI 431980 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10841
269,PI 432000 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10866
270,PI 432001 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10867
271,PI 432002 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10869
272,PI 432005 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10872
273,PI 432028 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10897
274,PI 432033 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10902
275,PI 432085 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-10961
276,PI 432106 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11001
277,PI 432124 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11021
278,PI 432145 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11045
279,PI 432147 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11047
280,PI 432184 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11095
281,PI 432188 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11102
282,PI 432190 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11108
283,PI 432201 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11123
284,PI 432212 LSP AGL,Iran,USDA,NA,NA,RPIP 33-071-11146
