"Entry","Name","Origin","Source","Synonyms"
150,"PI 212100 LSP AGL","Afghanistan","USDA","ILL 215;IG 215;PI 212100;NEL 215;PI 212100 LSP"
151,"PI 212610 LSP AGL","Afghanistan","USDA","ILL 217;IG 217;PI 212610;NEL 217;PI 212610 LSP"
152,"PI 217949 LSP AGL","Pakistan","USDA","ILL 222;IG 222;PI 217949;NEL 222;PI 217949 LSP"
153,"PI 238758 LSP AGL",NA,"USDA","ILL 224;IG 224;PI 238758;NEL 224;IG 949;ILL 949;P-476;NEL 949;PI 238758 LSP"
154,"PI 244046 AGL","Yemen","USDA","ILL 225;PI 244046;ATC 71104;IG 225;IG 950;NEL 225;ILL 950;P-484;NEL 950;PI 244046 LSP"
155,"PI 250156 LSP AGL","Pakistan","USDA","ILL 229;IG 229;PI 250156;NEL 229;PI 250156 LSP"
156,"PI 250158 LSP AGL","Pakistan","USDA","ILL 231;IG 231;PI 250158;NEL 231;IG 945;ILL 945;P-477;NEL 945;PI 250158 LSP"
157,"PI 251248 LSP AGL","Egypt","USDA","ILL 236;IG 236;PI 251248;NEL 236;PI 251248 LSP"
158,"PI 273664 LSP AGL","Ethiopia","USDA","ILL 247;IG 247;PI 273664;NEL 247;PI 273664 LSP"
159,"PI 280686 AGL","Egypt","USDA","ILL 249;GIZA 9;IG 249;IG 784;PI 280686 LSP;ILL 784;NEL 784;PI 280686"
160,"PI 283604 LSP AGL","Portugal","USDA","ILL 1918;CPI 14428;IG 1918;PI 283604;PI 283604 LSP"
161,"PI 289066 AGL","Czech Republic","USDA","SLOVENSKA KRAJOVA;NEL 722;IG 521;ILL 521;PI 320954;VIR 2101;NEL 521;PI 289066;ILL 256;II-3-1;IG 256;Slovenska Krajova;NEL 256;IG 722;PI 289066 LSP;ILL 722"
162,"PI 289073 LSP AGL",NA,"USDA","PALLAGI KEK;Pallagi Kek;NEL 260;Dallahi kek;ILL 719;NEL 719;B 130;BGE000825;BCU001154;IG 4894;PI 289073 LSP;ILL 260;II-3-16;IG 260;IG 719;LENS 589;LENS 183;NC004264;PI 289073"
163,"PI 289079 LSP AGL",NA,"USDA","PETITE ROUGE D'EGYPTE;NEL 265;Egyptian red lentil;ILL 702;NEL 702;PI 289079 LSP;ILL 265;II-3-30;IG 265;IG 702;LENS 139;PI 289079;Petit Rouge d'Egypte;PI 289079 SPC"
164,"PI 290716 LSP AGL","Unknown","USDA","ILL 1921;IG 1921;PI 290716;No. 102;PI 290716 LSP"
165,"PI 297285 LSP AGL",NA,"USDA","LENTEJA ESPECIALES GRAN…;LENTEJAS ESPECIALES GRANEL;ILL 269;IG 269;PI 297285;Lentejas Especiales Granel;NEL 269;PI 297285 LSP"
166,"PI 297287 AGL","Argentina","USDA","LENTEJAS EXTRA SELECCIONADAS;ILL 270;IG 270;PI 297287 LSP;PI 297287"
167,"PI 297754 LSP AGL","Greece","USDA","ILL 286;F-36;IG 286;PI 297754;NEL 286;PI 297754 LSP"
168,"PI 297767 AGL",NA,"USDA","ILL 299;M-6157;IG 299;NEL 299;PI 297767 LSP;PI 297767"
169,"PI 297772 LSP AGL",NA,"USDA","ILL 304;M-6743;IG 304;PI 297772;NEL 304;ATC 71189;PI 297772 LSP"
170,"PI 297783 AGL",NA,"USDA","ILL 315;M-8258;IG 315;NEL 315;PI 297783"
171,"PI 297787 LSP AGL",NA,"USDA","ILL 319;M-8753;IG 319;PI 297787;NEL 319;PI 297787 LSP"
172,"PI 298023 LSP AGL","Turkey","USDA","SUBNUMMULARIA;ILL 1923;ILL 330;60/42a;IG 330;IG 1923;NEL 330;PI 298023 LSP;ILL 329;60/40b;IG 329;PI 298023;PI 298025;PI 298024;Kucuk sultani mercimek;NEL 329"
173,"PI 298121 LSP AGL","France","USDA","ILL 335;IG 335;PI 298121;PI 298121 LSP"
174,"PI 298122 LSP AGL","France","USDA","ILL 336;IG 336;PI 298122;NEL 336;PI 298122 LSP"
175,"PI 298357 LSP AGL",NA,"USDA","GIZA;ILL 337;IG 337;PI 298357;Giza;NEL 337;PI 298357 LSP"
176,"PI 298631 LSP AGL","Peru","USDA","ILL 338;IG 338;PI 298631;PI 298631 SPC;NEL 338;PI 298631 LSP"
177,"PI 298644 LSP AGL",NA,"USDA","ILL 339;IG 339;PI 298644;NEL 339;PI 298644 LSP"
178,"PI 298645 AGL",NA,"USDA","ILL 340;IG 340;NEL 340;PI 298645 LSP;PI 298645"
179,"PI 298921 AGL",NA,"USDA","ALTAMURA;ILL 341;IG 341;Altamura;NEL 341;PI 298921 LSP;PI 298921"
180,"PI 298922 LSP AGL",NA,"USDA","TIPO CASTELLUCCIO PICCOLE;ILL 342;IG 342;PI 298922;Tipo Castellucio Piccole;NEL 342;PI 298922 LSP"
181,"PI 298923 LSP AGL",NA,"USDA","TIPO TURCHE NO. 1;ILL 343;IG 343;PI 298923;Tipo Turche No.1;NEL 343;PI 298923 LSP"
182,"PI 299116 LSP AGL",NA,"USDA","ILL 347;Parc 160;IG 347;PI 299116;NEL 347;PI 299116 LSP"
183,"PI 299120 LSP AGL",NA,"USDA","Parc 203;IG 351;PI 299120;ILL 351;NEL 351;PI 299120 LSP"
184,"PI 299121 LSP AGL",NA,"USDA","Parc 207;IG 352;PI 299121;ILL 352;NEL 352;PI 299121 LSP"
185,"PI 299126 LSP AGL",NA,"USDA","ILL 357;Parc 299;IG 357;PI 299126;NEL 357;PI 299126 LSP"
186,"PI 299163 LSP AGL","Chile","USDA","LP 54-22;PI 299163;IG 973;ILL 973;NEL 973;PI 299163 LSP"
187,"PI 299164 LSP AGL","Chile","USDA","LP 54-34;ILL 766;NEL 766;ILL 899;NEL 899;PI 612871;PI 299164 LSP;IG 75;PI 299164;PI 299261;ILL 75;P-1079;NEL 75;IG 766;IG 899"
188,"PI 299165 AGL","Chile","USDA","ILL 1924;LP 54-75;IG 1924;PI 299165 LSP;PI 299165"
189,"PI 299177 LSP AGL","Chile","USDA","ILL 374;LP 54-99;IG 374;PI 299177;NEL 374;PI 299177 LSP"
190,"PI 299237 LSP AGL","Chile","USDA","LP 54-1359;PI 299237;IG 995;ILL 995;NEL 995;PI 299237 LSP"
191,"PI 299289 AGL","Chile","USDA","LP 54-2698;PI 299289 LSP;PI 299289"
192,"PI 299312 AGL","Chile","USDA","ILL 435;IG 435;NEL 435;PI 299312 LSP;PI 299312"
193,"PI 299345 AGL","Chile","USDA","ILL 454;IG 454;PI 299345 LSP;PI 299345"
194,"PI 299351 LSP AGL","Chile","USDA","PI 299351;PI 299351 LSP"
195,"PI 299366 LSP AGL","Chile","USDA","ILL 465;PL 59-1209;IG 465;PI 299366;NEL 465;PI 299366 LSP"
196,"PI 299375 LSP AGL","Chile","USDA","ILL 469;PL 59-1231;IG 469;PI 299375;NEL 469;PI 299375 LSP"
197,"PI 300250 LSP AGL","Syria","USDA","ILL 472;IG 472;PI 300250;NEL 472;PI 300250 LSP"
198,"PI 302398 LSP AGL","Jordan","USDA","ILL 486;IG 486;PI 302398;NEL 486;PI 302398 LSP"
199,"PI 308614 LSP AGL",NA,"USDA","ILL 493;IG 493;PI 308614;NEL 493;PI 308614 LSP"
200,"PI 311107 LSP AGL","Guatemala","USDA","LENTOJA;ILL 494;IG 494;PI 311107;NEL 494;HSG 0965;PI 311107 LSP"
201,"PI 312175 LSP AGL","Mexico","USDA","LENTEJA;ILL 496;HSG 0965;ILL 498;ILL 499;ILL 497;IG 497;IG 496;IG 498;IG 499;NEL 497;ILL 495;NEL 496;NEL 498;NEL 499;PI 312180;PI 311107;PI 312175 LSP;IG 495;PI 312176;PI 312178;PI 312179;PI 312175;PI 312177;NEL 495"
202,"PI 320935 LSP AGL","Iran","USDA","ILL 503;IG 604;NEL 604;PI 320935 LSP;K-6;IG 503;PI 320935;PI 345553;VIR 6;NEL 503;IRANSKAJA 6;ILL 604"
203,"PI 320936 LSP AGL","Russia","USDA","DAGHESTANICA;ILL 504;K-15;IG 504;PI 320936;Daghestanica;VIR 15;NEL 504;PI 320936 LSP"
204,"PI 320937 LSP AGL","Germany","USDA","ILL 505;K-29;IG 505;PI 320937;PI 426766;VIR 29;NEL 505;PI 320937 LSP"
205,"CN 105866 AGL","Tunisia","PGRC","LENS 553;CN 105866"
206,"PI 320941 LSP AGL","Ethiopia","USDA","ILL 509;K-359;IG 509;PI 320941;VIR 359;NEL 509;PI 320941 LSP"
207,"PI 320945 LSP AGL","Bulgaria","USDA","ILL 512;K-487;IG 512;PI 320945;VIR 487;NEL 512;ATC 70951;PI 320945 LSP"
208,"PI 320946 LSP AGL","Israel","USDA","ILL 513;K-612;IG 513;PI 320946;VIR 612;NEL 513;PI 320946 LSP"
209,"PI 320952 LSP AGL","Czech Republic","USDA","ILL 519;K-2079;IG 519;PI 320952;VIR 2079;NEL 519;PI 320952 LSP"
210,"PI 320953 LSP AGL","Germany","USDA","SCHWARZE LINSE;ILL 4805;II-3-138;LENS 106;LENS 104;NC004273;PI 320953 LSP;ILL 520;K-2086;IG 520;IG 4805;PI 320953;Schwarze Linse;VIR 2086;NEL 520"
211,"PI 320954 LSP AGL","Hungary","USDA","SLOVENIAN KRAYODA;ILL 521;K-2101;IG 521;PI 320954;Slovenska Krajova;VIR 2101;NEL 521;PI 320954 LSP"
212,"PI 329157 LSP AGL","Iran","USDA","ILL 522;NEL 1012;ILL 1013;RPIP 33-071-10410;IG 1013;PI 329158;PI 329157 LSP;ILL 1012;RPIP 33-071-10409;IG 522;IG 1012;PI 329157;PI 431637;PI 431638;NEL 522"
213,"PI 329167 LSP AGL","Iran","USDA","ILL 1026;PI 431654;PI 329167;P-1156;NEL 530;NEL 751;NEL 884;NEL 1026;ILL 65;IG 65;PI 329167 LSP;ILL 530;ILL 751;ILL 884;RPIP 33-071-10428;IG 530;IG 751;IG 884;IG 1026"
214,"PI 339266 LSP AGL","Turkey","USDA","YERLI KUQUK;4M-3/2-1;IG 536;NEL 536;PI 339266 LSP;ILL 537;4M-3/2-2;IG 537;PI 339266;PI 339265;Yerli Kuquk;NEL 537;ILL 536"
215,"PI 339283 LSP AGL","Turkey","USDA","4M-16/1-1;PI 339283;IG 554;ILL 554;NEL 554;PI 339283 LSP"
216,"PI 339285 AGL","Turkey","USDA","ILL 556;4M-16/2-5;IG 556;NEL 556;PI 339285 LSP;PI 339285"
217,"PI 339289 LSP AGL","Turkey","USDA","ILL 560;4M-21/1-5;IG 560;PI 339289;NEL 560;PI 339289 LSP"
218,"PI 339292 LSP AGL","Turkey","USDA","SIYAH;ILL 573;4M-51/1-1;ILL 574;4M-51/1-3;IG 574;NEL 574;IG 573;PI 339292 LSP;ILL 563;4M-25/7-5;IG 563;PI 339302;PI 339292;PI 339303;Siyah;NEL 563"
219,"PI 339296 AGL","Turkey","USDA","YERLI;PI 339310;PI 339291;PI 339315;PI 339312;PI 339311;PI 339279;PI 339310 LSP;PI 339296 LSP;ILL 588;4M-78/1;ILL 567;ILL 584;4M-73/1;ILL 587;4M-76/3;ILL 549;4M-12/3-4;ILL 585;4M-73/2;ILL 581;4M-60/1-2;4M-36/3-3;ILL 562;4M-24/1-3;ILL 586;4M-73/3;ILL 583;4M-67/4;ILL 582;4M-60/1-4;ILL 550;4M-12/4-5;IG 567;IG 550;IG 549;IG 562;IG 581;IG 585;IG 582;IG 586;IG 587;Yerli;NEL 550;PI 339317;NEL 549;NEL 562;NEL 581;NEL 585;NEL 582;NEL 586;NEL 587;IG 583;IG 584;IG 588;PI 339313;PI 339296;PI 339316;PI 339278;PI 339314"
220,"PI 343026 LSP AGL","Tajikistan","USDA","TADZIR'S 95;NEL 598;TADJIKSKAJA 95;ILL 516;IG 516;NEL 516;IG 618;PI 343026 LSP;ILL 598;K-1834;IG 598;PI 343026;PI 320949;PI 345637;Tadzhikskaja 95;VIR 1834"
221,"PI 345627 LSP AGL","Ukraine","USDA","NARIADNAYA 03TIONAL 03;ILL 595;IG 595;Naryadnaja 3;NEL 595;PI 345627 LSP;ILL 608;K-1701;IG 608;PI 343023;PI 345627;Naryadnaja 03;VIR 1701;NEL 608"
222,"PI 358602 LSP AGL","Ethiopia","USDA","ILL 626;IG 626;PI 358602;HSG 0970;PI 358602 LSP"
223,"PI 368647 LSP AGL","Macedonia","USDA","DUKATINSKA;PI 368647;PI 368647 LSP"
224,"PI 368651 LSP AGL","Macedonia","USDA","BRODSKA;ILL 1935;IG 1935;PI 368651;Brodska;PI 368651 LSP"
225,"PI 370481 LSP AGL","Serbia","USDA","EDRA;ILL 627;IG 627;PI 370481;PI 370481 LSP"
226,"PI 374116 LSP AGL","Morocco","USDA","ILL 1936;IG 1936;PI 374116;PI 374116 LSP"
227,"PI 374117 LSP AGL","Morocco","USDA","ILL 1938;ILL 1937;IG 1937;IG 1938;PI 374117;PI 374117 LSP"
228,"PI 374118 AGL","Morocco","USDA","ILL 1939;IG 1939;PI 374118 LSP;PI 374118"
229,"PI 374120 LSP AGL","Morocco","USDA","ILL 1941;IG 1941;PI 374120;ATC 70278;PI 374120 LSP"
