"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
188,"Metaponto, Italy 2017","It17",138.666666666667,"PI 299165 AGL",-0.0195915276571836,0.000243019730866271,0.00225530131436682,0.9089442310131,14,7.65134681286309e-23,1.51130749809959e-05,1.40138981717123e-34,"7","Mediterranean",11.2,10.8,NA,129.649932843161,133.555078860919,3.90514601775817,"P",10.9
189,"Rosthern, Canada 2017","Ro17",46,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","Temperate",17.5,16.4,NA,44.4780072041616,44.9494149676888,0.471407763527139,"P",16.5
189,"Sutherland, Canada 2017","Su17",48.3333333333333,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","Temperate",15.7,16.1,NA,47.0076331899982,47.5345047112076,0.526871521209472,"P",16.2
189,"Central Ferry, USA 2018","Us18",59.3333333333333,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","Temperate",15.8,14.3,NA,58.627580466335,59.4494006785421,0.821820212207143,"P",14.4
189,"Bhopal, India 2017","In17",85,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","South Asia",20.6,10.7,NA,100.924874548133,103.385150076665,2.46027552853256,"P",10.8
189,"Jessore, Bangladesh 2017","Ba17",86,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","South Asia",21.7,11,NA,91.5514380341898,93.5713642124941,2.01992617830425,"P",11.1
189,"Bardiya, Nepal 2017","Ne17",126.333333333333,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","South Asia",19.4,10.8,NA,101.945673057064,104.456587988891,2.51091493182697,"P",10.9
189,"Cordoba, Spain 2017","Sp17",127,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","Mediterranean",11.7,11.1,NA,119.518531570902,122.984404675986,3.46587310508428,"P",11.2
189,"Marchouch, Morocco 2017","Mo17",120.666666666667,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","Mediterranean",11.8,11.5,NA,107.089487601114,109.863626075441,2.77413847432739,"P",11.6
189,"Metaponto, Italy 2017","It17",143.666666666667,"PI 299177 LSP AGL",-0.0213079969060841,0.000279170907362239,0.00235791076978946,0.926526725842786,16,1.01882841084639e-25,1.54409808728691e-06,2.93147424865882e-35,"6","Mediterranean",11.2,10.8,NA,132.979702236047,137.28431043861,4.30460820256289,"P",10.9
