"Expt","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
"Bardiya, Nepal 2016",123.333333333333,0.00811633333333333,19.2,11,90.5640866162114
"Bardiya, Nepal 2017",128.666666666667,0.00777666666666667,19.4,10.8,93.3451207008554
"Cordoba, Spain 2016",118.666666666667,0.008427,12.5,10.9,127.490738114006
"Cordoba, Spain 2017",126.666666666667,0.00789533333333333,11.7,11.1,124.199158311156
"Bhopal, India 2016",83,0.012048,17.6,10.9,114.151735198108
"Bhopal, India 2017",NA,0.011765,20.6,10.7,112.772440652662
"Marchouch, Morocco 2016",127.333333333333,0.00785366666666667,12,10.8,131.256674353258
"Marchouch, Morocco 2017",120.666666666667,0.00828766666666667,11.8,11.5,109.871876567412
"Jessore, Bangladesh 2016",NA,0.009615,18.6,10.8,106.653612762877
"Jessore, Bangladesh 2017",93,0.010754,21.7,11,93.5877932757354
"Central Ferry, USA 2018",57.3333333333333,0.0174773333333333,15.8,14.3,61.7089529142143
"Sutherland, Canada 2016",54.3333333333333,0.0184066666666667,16.7,15.9,50.8528174112585
"Sutherland, Canada 2017",57,0.0175546666666667,15.7,16.1,50.7744674612102
"Sutherland, Canada 2018",48.3333333333333,0.0206976666666667,17.6,16.1,49.0065031541845
"Metaponto, Italy 2016",134.666666666667,0.00742566666666667,10.6,10.9,138.150826981394
"Metaponto, Italy 2017",143.333333333333,0.00698133333333333,11.2,10.8,137.370335574499
"Rosthern, Canada 2016",48.3333333333333,0.0206913333333333,17.2,16.1,51.6603849403927
"Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,49.9387308482296
"Bardiya, Nepal 2016",118,0.00852266666666667,19.2,11,83.668773347511
"Bardiya, Nepal 2017",123.333333333333,0.008114,19.4,10.8,85.3791644845544
"Cordoba, Spain 2016",116.666666666667,0.008574,12.5,10.9,126.53928310065
"Cordoba, Spain 2017",129.333333333333,0.007732,11.7,11.1,125.456505298733
"Bhopal, India 2016",NA,0.011628,17.6,10.9,105.78696853577
"Bhopal, India 2017",70,0.014286,20.6,10.7,99.8732472393344
"Marchouch, Morocco 2016",128.333333333333,0.007792,12,10.8,130.567178509818
"Marchouch, Morocco 2017",122.333333333333,0.00817466666666667,11.8,11.5,112.136679040599
"Jessore, Bangladesh 2016",84,0.011906,18.6,10.8,102.49704042852
"Jessore, Bangladesh 2017",87.6666666666667,0.0114453333333333,21.7,11,89.2288517954598
"Central Ferry, USA 2018",61,0.0163963333333333,15.8,14.3,63.8516359362492
"Sutherland, Canada 2016",55.6666666666667,0.0179653333333333,16.7,15.9,53.5331686276515
"Sutherland, Canada 2017",57,0.0175546666666667,15.7,16.1,54.3431785866848
