"Plot","Entry","Name","Rep","Expt","Location","Year","PlantingDate","DTE","DTF","DTF2","DTS","DTM","ExptShort","DTF2_scaled","RDTF","VEG","REP","T_mean","P_mean","Predicted_DTF"
2037,3,"3156-11 AGL","1","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-03,25,127,127,147,156,"Ne17",4.08256880733945,0.007874,102,29,19.4,10.8,98.6863389539789
2354,3,"3156-11 AGL","2","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-04,10,128,128,153,162,"Ne17",4.11926605504587,0.007812,118,34,19.4,10.8,98.6863389539789
2904,3,"3156-11 AGL","3","Bardiya, Nepal 2017","Bardiya, Nepal","2017",2017-11-05,14,121,121,146,156,"Ne17",3.86238532110092,0.008264,107,35,19.4,10.8,98.6863389539789
1592,3,"3156-11 AGL","2","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,127,127,140,166,"Mo17",3.98507462686567,0.007874,114,39,11.8,11.5,119.100414430764
1659,3,"3156-11 AGL","3","Marchouch, Morocco 2017","Marchouch, Morocco","2017",2017-12-21,13,127,127,141,166,"Mo17",3.98507462686567,0.007874,114,39,11.8,11.5,119.100414430764
29,3,"3156-11 AGL","1","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,163,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,143.558534197167
443,3,"3156-11 AGL","2","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-28,23,146,146,163,174,"It17",4.50877192982456,0.006849,123,28,11.2,10.8,143.558534197167
691,3,"3156-11 AGL","3","Metaponto, Italy 2017","Metaponto, Italy","2017",2017-11-29,24,145,145,159,177,"It17",4.43859649122807,0.006897,121,32,11.2,10.8,143.558534197167
2916,3,"3156-11 AGL","3","Central Ferry, USA 2018","Central Ferry, USA","2018",2018-03-29,18,70,70,96,99,"Us18",4.2,0.014286,52,29,15.8,14.3,67.8601190424549
278,3,"3156-11 AGL","1","Jessore, Bangladesh 2016","Jessore, Bangladesh","2016",2016-11-15,6,90,90,NA,NA,"Ba16",4.16666666666667,0.011111,84,NA,18.6,10.8,101.790407395873
