"Entry","Name","Expt","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
9,"CDC Impower AGL","Sutherland, Canada 2017",57,0.0175546666666667,15.7,16.1,0.019121864619361,52.2961552079757
9,"CDC Impower AGL","Sutherland, Canada 2018",48.3333333333333,0.0206976666666667,17.6,16.1,0.019859231075837,50.3544168543722
9,"CDC Impower AGL","Central Ferry, USA 2018",61,0.0163963333333333,15.8,14.3,0.0157257965428904,63.5897836572289
9,"CDC Impower AGL","Bhopal, India 2016",NA,0.011628,17.6,10.9,0.00993625354575032,100.641554223191
9,"CDC Impower AGL","Bhopal, India 2017",70,0.014286,20.6,10.7,0.0107188633898387,93.2934737229677
9,"CDC Impower AGL","Jessore, Bangladesh 2016",84,0.011906,18.6,10.8,0.0101335146634587,98.6824446611779
9,"CDC Impower AGL","Jessore, Bangladesh 2017",87.6666666666667,0.0114453333333333,21.7,11,0.0117182392322671,85.3370527925748
9,"CDC Impower AGL","Bardiya, Nepal 2016",118,0.00852266666666667,19.2,11,0.0107480202105881,93.0403907330654
9,"CDC Impower AGL","Bardiya, Nepal 2017",123.333333333333,0.008114,19.4,10.8,0.010443984750396,95.7488950720732
9,"CDC Impower AGL","Cordoba, Spain 2016",116.666666666667,0.008574,12.5,10.9,0.00795700674152513,125.67539936611
9,"CDC Impower AGL","Cordoba, Spain 2017",129.333333333333,0.007732,11.7,11.1,0.00802818963651425,124.561083541393
9,"CDC Impower AGL","Marchouch, Morocco 2016",128.333333333333,0.007792,12,10.8,0.00757213644622612,132.063124733891
9,"CDC Impower AGL","Marchouch, Morocco 2017",122.333333333333,0.00817466666666667,11.8,11.5,0.00883030436123423,113.246379636707
9,"CDC Impower AGL","Metaponto, Italy 2016",134.666666666667,0.00742566666666667,10.6,10.9,0.00721964028504907,138.511056024615
9,"CDC Impower AGL","Metaponto, Italy 2017",143.333333333333,0.00698133333333333,11.2,10.8,0.00726166635928883,137.709438925246
10,"CDC KR-1 AGL","Rosthern, Canada 2016",50.3333333333333,0.0198796666666667,17.2,16.1,0.0191163408320454,52.3112665120337
10,"CDC KR-1 AGL","Rosthern, Canada 2017",49.6666666666667,0.0201413333333333,17.5,16.4,0.0197439553939031,50.6484126432336
10,"CDC KR-1 AGL","Sutherland, Canada 2016",55.6666666666667,0.0179653333333333,16.7,15.9,0.0185202803507118,53.9948629860545
10,"CDC KR-1 AGL","Sutherland, Canada 2017",57,0.0175546666666667,15.7,16.1,0.0182280869649026,54.8603922027285
10,"CDC KR-1 AGL","Sutherland, Canada 2018",49.6666666666667,0.020136,17.6,16.1,0.0193532085299502,51.6710187074377
10,"CDC KR-1 AGL","Central Ferry, USA 2018",67.3333333333333,0.0148633333333333,15.8,14.3,0.0155875211588044,64.1538824430184
10,"CDC KR-1 AGL","Bhopal, India 2016",68.3333333333333,0.0150626666666667,17.6,10.9,0.0115538361971798,86.551339566688
10,"CDC KR-1 AGL","Bhopal, India 2017",58.3333333333333,0.0172496666666667,20.6,10.7,0.0130303680725128,76.7438029712664
10,"CDC KR-1 AGL","Jessore, Bangladesh 2016",73,0.0137006666666667,18.6,10.8,0.0119960175124653,83.3609986781761
10,"CDC KR-1 AGL","Jessore, Bangladesh 2017",75,0.0133626666666667,21.7,11,0.0141317180301799,70.7628044845209
10,"CDC KR-1 AGL","Bardiya, Nepal 2016",120.666666666667,0.008317,19.2,11,0.0126512949182752,79.0432921262052
10,"CDC KR-1 AGL","Bardiya, Nepal 2017",121.666666666667,0.00822233333333333,19.4,10.8,0.0124697529082749,80.19405094518
10,"CDC KR-1 AGL","Cordoba, Spain 2016",111.666666666667,0.00895833333333333,12.5,10.9,0.00853377304889414,117.181461736856
10,"CDC KR-1 AGL","Cordoba, Spain 2017",125.333333333333,0.00797966666666667,11.7,11.1,0.00836001351203733,119.617031546675
10,"CDC KR-1 AGL","Marchouch, Morocco 2016",119,0.008403,12,10.8,0.00808770049703684,123.644539058584
10,"CDC KR-1 AGL","Marchouch, Morocco 2017",117.333333333333,0.008523,11.8,11.5,0.00901918215441894,110.874798055836
10,"CDC KR-1 AGL","Metaponto, Italy 2016",130.666666666667,0.00765833333333333,10.6,10.9,0.00740865148384654,134.977330514244
10,"CDC KR-1 AGL","Metaponto, Italy 2017",134.666666666667,0.007428,11.2,10.8,0.00761396510122733,131.337612755646
11,"CDC LeMay AGL","Rosthern, Canada 2016",49.6666666666667,0.0201413333333333,17.2,16.1,0.0196163527328878,50.9778761432777
11,"CDC LeMay AGL","Rosthern, Canada 2017",48.6666666666667,0.0205496666666667,17.5,16.4,0.020295669046769,49.2715957131354
11,"CDC LeMay AGL","Sutherland, Canada 2016",53.6666666666667,0.0186353333333333,16.7,15.9,0.0190554385544194,52.478456328578
11,"CDC LeMay AGL","Sutherland, Canada 2017",55.6666666666667,0.0179653333333333,15.7,16.1,0.0190761695534834,52.4214254437362
11,"CDC LeMay AGL","Sutherland, Canada 2018",48,0.0208513333333333,17.6,16.1,0.0197604015807289,50.606258982876
11,"CDC LeMay AGL","Central Ferry, USA 2018",65.6666666666667,0.0152926666666667,15.8,14.3,0.0156845036974414,63.7571975046382
11,"CDC LeMay AGL","Bhopal, India 2016",81,0.012393,17.6,10.9,0.00985822049538904,101.438185569873
11,"CDC LeMay AGL","Bhopal, India 2017",76,0.013158,20.6,10.7,0.0105577337355309,94.7172968223863
11,"CDC LeMay AGL","Jessore, Bangladesh 2016",84.6666666666667,0.0118116666666667,18.6,10.8,0.0100279160556585,99.7216165801194
11,"CDC LeMay AGL","Jessore, Bangladesh 2017",86,0.0116353333333333,21.7,11,0.0115251477450945,86.7667835690555
11,"CDC LeMay AGL","Bardiya, Nepal 2016",117,0.008586,19.2,11,0.0106248424460872,94.1190427127954
11,"CDC LeMay AGL","Bardiya, Nepal 2017",126.666666666667,0.00789533333333333,19.4,10.8,0.0103160137513408,96.9366679905815
11,"CDC LeMay AGL","Cordoba, Spain 2016",117,0.00855,12.5,10.9,0.00802159768541414,124.66344476716
11,"CDC LeMay AGL","Cordoba, Spain 2017",128.666666666667,0.00777366666666667,11.7,11.1,0.00811435310839871,123.238413049212
11,"CDC LeMay AGL","Marchouch, Morocco 2016",127.333333333333,0.00785366666666667,12,10.8,0.00765111006627922,130.699988803887
11,"CDC LeMay AGL","Marchouch, Morocco 2017",120,0.008333,11.8,11.5,0.00891207155769285,112.207357574099
11,"CDC LeMay AGL","Metaponto, Italy 2016",129.666666666667,0.00771433333333333,10.6,10.9,0.00733736565816859,136.288696323416
11,"CDC LeMay AGL","Metaponto, Italy 2017",142,0.00704366666666667,11.2,10.8,0.00736301237059688,135.813977984521
12,"CDC Maxim AGL","Rosthern, Canada 2016",48.6666666666667,0.0205496666666667,17.2,16.1,0.0203235381943072,49.2040308355417
12,"CDC Maxim AGL","Rosthern, Canada 2017",47,0.021283,17.5,16.4,0.0210308888741156,47.5491076951475
12,"CDC Maxim AGL","Sutherland, Canada 2016",50.6666666666667,0.0197386666666667,16.7,15.9,0.0197386162557009,50.6621126347285
12,"CDC Maxim AGL","Sutherland, Canada 2017",54.3333333333333,0.0184106666666667,15.7,16.1,0.0197567641006372,50.6155762606767
12,"CDC Maxim AGL","Sutherland, Canada 2018",47,0.021277,17.6,16.1,0.0204746779526192,48.8408170479711
12,"CDC Maxim AGL","Central Ferry, USA 2018",60.3333333333333,0.0165756666666667,15.8,14.3,0.0162305738737686,61.6121159841532
12,"CDC Maxim AGL","Bhopal, India 2016",63,0.015873,17.6,10.9,0.0101787496939959,98.2438934115715
12,"CDC Maxim AGL","Bhopal, India 2017",75,0.0134006666666667,20.6,10.7,0.0109163006406196,91.6061249063619
12,"CDC Maxim AGL","Jessore, Bangladesh 2016",84,0.011906,18.6,10.8,0.0103586004694178,96.5381378451995
12,"CDC Maxim AGL","Jessore, Bangladesh 2017",89.3333333333333,0.0111953333333333,21.7,11,0.0119259308370521,83.8508971470095
12,"CDC Maxim AGL","Bardiya, Nepal 2016",120,0.00836533333333333,19.2,11,0.010981307347602,91.0638386073738
12,"CDC Maxim AGL","Bardiya, Nepal 2017",125.666666666667,0.007958,19.4,10.8,0.0106608799860418,93.8008871040003
12,"CDC Maxim AGL","Cordoba, Spain 2016",117,0.00855,12.5,10.9,0.00825171777551789,121.186888258213
12,"CDC Maxim AGL","Cordoba, Spain 2017",125.333333333333,0.00797966666666667,11.7,11.1,0.00834543549961016,119.825981525675
12,"CDC Maxim AGL","Marchouch, Morocco 2016",122.666666666667,0.00815233333333333,12,10.8,0.00786479445726975,127.148904581436
12,"CDC Maxim AGL","Marchouch, Morocco 2017",117,0.008547,11.8,11.5,0.00917521492062073,108.989272583966
12,"CDC Maxim AGL","Metaponto, Italy 2016",129.666666666667,0.00771433333333333,10.6,10.9,0.00753380392353589,132.735071173801
12,"CDC Maxim AGL","Metaponto, Italy 2017",138.666666666667,0.00721133333333333,11.2,10.8,0.00756251494064575,132.231143719845
13,"CDC QG-1 AGL","Rosthern, Canada 2016",50.6666666666667,0.019749,17.2,16.1,0.0189448921287898,52.7846763761902
13,"CDC QG-1 AGL","Rosthern, Canada 2017",51.6666666666667,0.0193566666666667,17.5,16.4,0.0196083092270887,50.9987877291586
