"Plot","Entry","Name","Rep","Expt","ExptShort","T_mean","P_mean","RDTF","DTF","Predicted_RDTF","Predicted_DTF"
1024,3,"3156-11 AGL","3","Jessore, Bangladesh 2016","Ba16",18.6,10.8,0.010989,91,0.00988687209779594,101.144223381116
3898,3,"3156-11 AGL","3","Bardiya, Nepal 2016","Ne16",19.2,11,0.008197,122,0.0104222357399784,95.9487028454101
6125,3,"3156-11 AGL","1","Rosthern, Canada 2017","Ro17",17.5,16.4,0.018868,53,0.0184211682467163,54.2853735771214
6430,3,"3156-11 AGL","2","Rosthern, Canada 2017","Ro17",17.5,16.4,0.018868,53,0.0184211682467163,54.2853735771214
6879,3,"3156-11 AGL","3","Rosthern, Canada 2017","Ro17",17.5,16.4,0.019231,52,0.0184211682467163,54.2853735771214
5159,3,"3156-11 AGL","1","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0172935251717683,57.8251102691601
5722,3,"3156-11 AGL","2","Sutherland, Canada 2017","Su17",15.7,16.1,0.016393,61,0.0172935251717683,57.8251102691601
5789,3,"3156-11 AGL","3","Sutherland, Canada 2017","Su17",15.7,16.1,0.016667,60,0.0172935251717683,57.8251102691601
110,3,"3156-11 AGL","1","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011364,88,0.0113238957724069,88.3088311742247
592,3,"3156-11 AGL","2","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011364,88,0.0113238957724069,88.3088311742247
858,3,"3156-11 AGL","3","Jessore, Bangladesh 2017","Ba17",21.7,11,0.011364,88,0.0113238957724069,88.3088311742247
2097,3,"3156-11 AGL","1","Central Ferry, USA 2018","Us18",15.8,14.3,0.013699,73,0.014458904463469,69.1615331249014
5101,3,"3156-11 AGL","1","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00968569070202433,103.245089148985
5572,3,"3156-11 AGL","2","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00968569070202433,103.245089148985
5997,3,"3156-11 AGL","3","Bhopal, India 2016","In16",17.6,10.9,0.011628,NA,0.00968569070202433,103.245089148985
1200,3,"3156-11 AGL","1","Bhopal, India 2017","In17",20.6,10.7,0.011765,NA,0.010448717506539,95.7055255225519
1425,3,"3156-11 AGL","2","Bhopal, India 2017","In17",20.6,10.7,0.011765,NA,0.010448717506539,95.7055255225519
1969,3,"3156-11 AGL","3","Bhopal, India 2017","In17",20.6,10.7,0.011765,NA,0.010448717506539,95.7055255225519
5027,4,"CDC Greenstar AGL","1","Sutherland, Canada 2018","Su18",17.6,16.1,0.02,50,0.0193808559618627,51.5973082906031
