"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_DTF"
12,"CDC Maxim AGL","Metaponto, Italy 2016","It16",129.666666666667,0.00771433333333333,10.6,10.9,171.767487445818
12,"CDC Maxim AGL","Metaponto, Italy 2017","It17",138.666666666667,0.00721133333333333,11.2,10.8,151.988853233786
13,"CDC QG-1 AGL","Rosthern, Canada 2016","Ro16",50.6666666666667,0.019749,17.2,16.1,50.3914061903043
13,"CDC QG-1 AGL","Rosthern, Canada 2017","Ro17",51.6666666666667,0.0193566666666667,17.5,16.4,48.6710238081385
13,"CDC QG-1 AGL","Sutherland, Canada 2016","Su16",56,0.017857,16.7,15.9,52.1961284879738
13,"CDC QG-1 AGL","Sutherland, Canada 2017","Su17",57.6666666666667,0.017356,15.7,16.1,53.3273476580581
13,"CDC QG-1 AGL","Sutherland, Canada 2018","Su18",49.6666666666667,0.020136,17.6,16.1,49.6622963845848
13,"CDC QG-1 AGL","Central Ferry, USA 2018","Us18",66,0.0152013333333333,15.8,14.3,62.7853305626347
13,"CDC QG-1 AGL","Bhopal, India 2016","In16",85,0.011765,17.6,10.9,84.9978750531236
13,"CDC QG-1 AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,73.3776037497615
13,"CDC QG-1 AGL","Jessore, Bangladesh 2016","Ba16",82,0.0121963333333333,18.6,10.8,81.087314434927
13,"CDC QG-1 AGL","Jessore, Bangladesh 2017","Ba17",89,0.011237,21.7,11,67.0588202868373
13,"CDC QG-1 AGL","Bardiya, Nepal 2016","Ne16",117,0.008563,19.2,11,76.3862205210851
13,"CDC QG-1 AGL","Bardiya, Nepal 2017","Ne17",126.666666666667,0.00789533333333333,19.4,10.8,77.4288777656408
13,"CDC QG-1 AGL","Cordoba, Spain 2016","Sp16",124.333333333333,0.00805033333333333,12.5,10.9,124.218458862987
13,"CDC QG-1 AGL","Cordoba, Spain 2017","Sp17",131.333333333333,0.00761566666666667,11.7,11.1,128.376262628789
13,"CDC QG-1 AGL","Marchouch, Morocco 2016","Mo16",132.666666666667,0.007538,12,10.8,132.887371154912
13,"CDC QG-1 AGL","Marchouch, Morocco 2017","Mo17",126,0.007937,11.8,11.5,117.559072916975
13,"CDC QG-1 AGL","Metaponto, Italy 2016","It16",147.333333333333,0.00678833333333333,10.6,10.9,150.005147235444
13,"CDC QG-1 AGL","Metaponto, Italy 2017","It17",145,0.00689666666666667,11.2,10.8,144.040813736453
17,"CDC Robin AGL","Rosthern, Canada 2016","Ro16",46.6666666666667,0.021511,17.2,16.1,47.5876335602921
17,"CDC Robin AGL","Rosthern, Canada 2017","Ro17",47,0.021277,17.5,16.4,45.9729785670923
17,"CDC Robin AGL","Sutherland, Canada 2016","Su16",53,0.0188726666666667,16.7,15.9,49.2017516714124
17,"CDC Robin AGL","Sutherland, Canada 2017","Su17",52,0.0192356666666667,15.7,16.1,49.9323465657315
17,"CDC Robin AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,46.9991070169666
17,"CDC Robin AGL","Central Ferry, USA 2018","Us18",63.5,0.015757,15.8,14.3,59.3516596577101
17,"CDC Robin AGL","Bhopal, India 2016","In16",84,0.011905,17.6,10.9,83.9983200335993
17,"CDC Robin AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,73.9750687281945
17,"CDC Robin AGL","Jessore, Bangladesh 2016","Ba16",79.6666666666667,0.0125526666666667,18.6,10.8,80.7584030153701
17,"CDC Robin AGL","Jessore, Bangladesh 2017","Ba17",84.3333333333333,0.0118583333333333,21.7,11,67.6480704535777
17,"CDC Robin AGL","Bardiya, Nepal 2016","Ne16",120,0.0083545,19.2,11,76.1163618261865
17,"CDC Robin AGL","Bardiya, Nepal 2017","Ne17",124.666666666667,0.00802166666666667,19.4,10.8,77.4660131012203
17,"CDC Robin AGL","Cordoba, Spain 2016","Sp16",117,0.00855,12.5,10.9,116.959064327485
17,"CDC Robin AGL","Cordoba, Spain 2017","Sp17",131.333333333333,0.00761566666666667,11.7,11.1,119.272148460184
17,"CDC Robin AGL","Marchouch, Morocco 2016","Mo16",128,0.007812,12,10.8,124.364997574601
17,"CDC Robin AGL","Marchouch, Morocco 2017","Mo17",123.666666666667,0.00808666666666667,11.8,11.5,109.040618534964
17,"CDC Robin AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.9,136.984461664495
17,"CDC Robin AGL","Metaponto, Italy 2017","It17",144.333333333333,0.00692833333333333,11.2,10.8,133.074757504874
18,"CDC Rosebud AGL","Rosthern, Canada 2016","Ro16",50,0.0200053333333333,17.2,16.1,48.6857550890138
18,"CDC Rosebud AGL","Rosthern, Canada 2017","Ro17",47.3333333333333,0.021129,17.5,16.4,46.9886146486303
18,"CDC Rosebud AGL","Sutherland, Canada 2016","Su16",54,0.018519,16.7,15.9,51.3018333499407
18,"CDC Rosebud AGL","Sutherland, Canada 2017","Su17",54.6666666666667,0.0183023333333333,15.7,16.1,56.2565046583511
18,"CDC Rosebud AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,46.9991070169667
18,"CDC Rosebud AGL","Central Ferry, USA 2018","Us18",63.5,0.0157725,15.8,14.3,59.4324430277172
18,"CDC Rosebud AGL","Bhopal, India 2016","In16",56,0.0180005,17.6,10.9,55.5540123885448
18,"CDC Rosebud AGL","Bhopal, India 2017","In17",60,0.0167076666666667,20.6,10.7,42.7299040028881
18,"CDC Rosebud AGL","Jessore, Bangladesh 2016","Ba16",75.6666666666667,0.0132163333333333,18.6,10.8,50.5554318975933
18,"CDC Rosebud AGL","Jessore, Bangladesh 2017","Ba17",76.6666666666667,0.013044,21.7,11,39.033684443271
18,"CDC Rosebud AGL","Bardiya, Nepal 2016","Ne16",106.333333333333,0.00941233333333333,19.2,11,47.5919563288887
18,"CDC Rosebud AGL","Bardiya, Nepal 2017","Ne17",121.333333333333,0.00824166666666667,19.4,10.8,47.04888152594
18,"CDC Rosebud AGL","Cordoba, Spain 2016","Sp16",116.333333333333,0.00860233333333333,12.5,10.9,116.247529739993
18,"CDC Rosebud AGL","Cordoba, Spain 2017","Sp17",126.666666666667,0.007898,11.7,11.1,137.852499592775
18,"CDC Rosebud AGL","Marchouch, Morocco 2016","Mo16",126,0.007937,12,10.8,131.269172346466
18,"CDC Rosebud AGL","Marchouch, Morocco 2017","Mo17",117,0.008547,11.8,11.5,130.031460389444
18,"CDC Rosebud AGL","Metaponto, Italy 2016","It16",125.333333333333,0.00798333333333333,10.6,10.9,196.037857088402
18,"CDC Rosebud AGL","Metaponto, Italy 2017","It17",136.666666666667,0.00731966666666667,11.2,10.8,162.76803034163
20,"CDC Rouleau AGL","Rosthern, Canada 2016","Ro16",50.6666666666667,0.0197436666666667,17.2,16.1,49.2918881982655
20,"CDC Rouleau AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,47.6547852852733
20,"CDC Rouleau AGL","Sutherland, Canada 2016","Su16",55,0.018186,16.7,15.9,50.9763920485901
20,"CDC Rouleau AGL","Sutherland, Canada 2017","Su17",55.3333333333333,0.0180736666666667,15.7,16.1,51.9251504047616
20,"CDC Rouleau AGL","Sutherland, Canada 2018","Su18",48.6666666666667,0.0205616666666667,17.6,16.1,48.6341898354543
20,"CDC Rouleau AGL","Central Ferry, USA 2018","Us18",62,0.016129,15.8,14.3,61.049912078458
20,"CDC Rouleau AGL","Bhopal, India 2016","In16",83,0.012048,17.6,10.9,83.0013280212483
20,"CDC Rouleau AGL","Bhopal, India 2017","In17",76.5,0.0130995,20.6,10.7,72.5784297235271
20,"CDC Rouleau AGL","Jessore, Bangladesh 2016","Ba16",90.3333333333333,0.0110723333333333,18.6,10.8,79.5534949107212
20,"CDC Rouleau AGL","Jessore, Bangladesh 2017","Ba17",88.3333333333333,0.0113213333333333,21.7,11,66.5608703551612
20,"CDC Rouleau AGL","Bardiya, Nepal 2016","Ne16",128.333333333333,0.00779866666666667,19.2,11,75.1363567632878
20,"CDC Rouleau AGL","Bardiya, Nepal 2017","Ne17",123.666666666667,0.008088,19.4,10.8,76.2261129795739
20,"CDC Rouleau AGL","Cordoba, Spain 2016","Sp16",117,0.00855,12.5,10.9,116.959064327485
20,"CDC Rouleau AGL","Cordoba, Spain 2017","Sp17",131.333333333333,0.00761466666666667,11.7,11.1,120.066139601063
20,"CDC Rouleau AGL","Marchouch, Morocco 2016","Mo16",127.666666666667,0.00783266666666667,12,10.8,124.326546957204
20,"CDC Rouleau AGL","Marchouch, Morocco 2017","Mo17",117,0.008547,11.8,11.5,110.470035003005
20,"CDC Rouleau AGL","Metaponto, Italy 2016","It16",133.666666666667,0.00748166666666667,10.6,10.9,137.9914932303
20,"CDC Rouleau AGL","Metaponto, Italy 2017","It17",142,0.00704566666666667,11.2,10.8,133.428893644543
22,"CDC Ruby AGL","Rosthern, Canada 2016","Ro16",49.6666666666667,0.020136,17.2,16.1,48.6077686651449
22,"CDC Ruby AGL","Rosthern, Canada 2017","Ro17",46,0.021739,17.5,16.4,46.9689253979204
22,"CDC Ruby AGL","Sutherland, Canada 2016","Su16",51,0.019608,16.7,15.9,51.1086156368081
22,"CDC Ruby AGL","Sutherland, Canada 2017","Su17",52.6666666666667,0.018989,15.7,16.1,55.7654352710911
22,"CDC Ruby AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,46.9991070169667
22,"CDC Ruby AGL","Central Ferry, USA 2018","Us18",63.3333333333333,0.0158156666666667,15.8,14.3,58.927432733069
