"Entry","Expt","ExptShort","DTF","Name","a","b","c","RR","Environments","aP","bP","cP","Cluster","MacroEnv","T_mean","P_mean","T_mean2","DTF_1","DTF_0","Diff","Increase","P_mean2"
130,"Marchouch, Morocco 2017","Mo17",116,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","Mediterranean",11.8,11.5,NA,106.860914940058,109.304162901712,2.4432479616538,"P",11.6
130,"Metaponto, Italy 2017","It17",138.666666666667,"PI 163589 AGL",-0.0180412482501976,0.000265659751996592,0.00209176048349152,0.902642816272468,14,4.60099872506568e-22,1.42490747617059e-06,3.2438681266275e-33,"7","Mediterranean",11.2,10.8,NA,129.29367749789,132.887642463758,3.59396496586868,"P",10.9
131,"Rosthern, Canada 2017","Ro17",45.6666666666667,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","Temperate",17.5,16.4,NA,46.1375612317911,46.5707436644559,0.433182432664829,"P",16.5
131,"Sutherland, Canada 2017","Su17",53,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","Temperate",15.7,16.1,NA,49.6051843584862,50.1062819020263,0.501097543540077,"P",16.2
131,"Central Ferry, USA 2018","Us18",NA,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","Temperate",15.8,14.3,NA,60.3105326209406,61.0528716389822,0.742339018041541,"P",14.4
131,"Bhopal, India 2017","In17",73.6666666666667,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","South Asia",20.6,10.7,NA,85.1024299488995,86.5880332796987,1.48560333079912,"P",10.8
131,"Jessore, Bangladesh 2017","Ba17",82.6666666666667,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","South Asia",21.7,11,NA,77.4493394772231,78.6778337623457,1.22849428512257,"P",11.1
131,"Bardiya, Nepal 2017","Ne17",123,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","South Asia",19.4,10.8,NA,88.1424138706116,89.7370431109643,1.59462924035273,"P",10.9
131,"Cordoba, Spain 2017","Sp17",130.333333333333,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","Mediterranean",11.7,11.1,NA,124.13148378899,127.317688837137,3.18620504814723,"P",11.2
131,"Marchouch, Morocco 2017","Mo17",128,"PI 169534 LSP AGL",-0.0204409144021893,0.000505729780908303,0.00201605802833419,0.845482620218205,16,2.42292293094777e-18,9.25463026856671e-10,2.4480411018227e-26,"6","Mediterranean",11.8,11.5,NA,112.196045106999,114.792581409458,2.59653630245919,"P",11.6
