"Entry","Name","Expt","ExptShort","MacroEnv","DTF","Tb","Pc","Tf_0","Tf_5","Tf","Pf_0","Pf_7","Pf","PTT","PTT_0","predicted_DTF_Tf","predicted_DTF_Pf","predicted_Pf","predicted_Tf"
310,"PI 490289 LSP AGL","Sutherland, Canada 2018","Su18","Temperate",43,-46.4675132168225,6.74945276286387,754.3,534.3,2798.8,706,398,409,26058.7,12143.6,45,45,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Central Ferry, USA 2018","Us18","Temperate",55.3333333333333,-34.1343822389611,7.01215977585319,830.966666666667,549.3,2753.9,783.8,389.466666666667,388.766666666667,19162.1,11718.2666666667,59,60,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Bhopal, India 2016","In16","South Asia",NA,-10.8384681696672,6.74945276286387,1530.4,1095.4,2473.3,946.2,337.2,359,10252,16690.5,100,100,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Bhopal, India 2017","In17","South Asia",NA,-9.46812028323812,6.31160774121501,1769.8,1339.8,2584,923,321,380.2,11430.7,19001.4,97,95,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Jessore, Bangladesh 2016","Ba16","South Asia",91,-10.1532942264527,6.60350442231425,1691.36666666667,1231.36666666667,2625.43333333333,990.566666666667,346.566666666667,383.033333333333,10938.1666666667,18217.9,101,100,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Jessore, Bangladesh 2017","Ba17","South Asia",93.6666666666667,-11.5236421128817,6.15106456661043,1997.76666666667,1524.43333333333,3088.7,1033.9,371.233333333333,451.6,14821.2666666667,21905.9333333333,90,89,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Bardiya, Nepal 2016","Ne16","South Asia",115.333333333333,-11.5236421128817,6.51593541798448,2066.16666666667,1477.83333333333,3422.13333333333,1253.76666666667,430.133333333333,487.1,14233.5666666667,22083.9333333333,101,105,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Bardiya, Nepal 2017","Ne17","South Asia",121.333333333333,-10.1532942264527,6.48674574987456,2286.33333333333,1679.66666666667,3518.23333333333,1286.26666666667,436.933333333333,499.233333333333,14499.5,24261.3666666667,103,108,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Cordoba, Spain 2016","Sp16","Mediterranean",117.333333333333,-10.8384681696672,7.49378929966694,1403.46666666667,811.8,2686.06666666667,1263.86666666667,435.533333333333,377.133333333333,8898.86666666667,15329.2666666667,125,127,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Cordoba, Spain 2017","Sp17","Mediterranean",124.666666666667,-12.2088160560962,7.61054797210663,1369.93333333333,741.533333333333,2904.16666666667,1361.76666666667,482.133333333333,405.4,9610.3,15086.5666666667,126,129,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",128.666666666667,-10.1532942264527,7.56676346994175,1493,844.666666666667,2809.56666666667,1372.03333333333,464.366666666667,390.8,8540.33333333333,15869.5666666667,133,136,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Marchouch, Morocco 2017","Mo17","Mediterranean",118.666666666667,-14.9495118289543,7.59595313805167,1342.93333333333,744.6,3131.86666666667,1328.2,490.533333333333,419.233333333333,11119.5666666667,15053.2666666667,112,120,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Metaponto, Italy 2016","It16","Mediterranean",143.666666666667,-10.1532942264527,7.77109114671121,1495.7,770.7,2967.93333333333,1545.26666666667,530.266666666667,418.5,9068.16666666667,16442.3666666667,142,146,425.600355192257,2916.10273600581
310,"PI 490289 LSP AGL","Metaponto, Italy 2017","It17","Mediterranean",139.666666666667,-10.1532942264527,7.68352214238144,1476.8,771.8,2908.4,1487.06666666667,500.066666666667,403.666666666667,8596.96666666667,15845.1333333333,141,144,425.600355192257,2916.10273600581
311,"PI 508090 AGL","Rosthern, Canada 2016","Ro16","Temperate",44.6666666666667,-23.5736858020345,5.90175963351619,760.333333333333,527,1860.43333333333,749.2,422.533333333333,473.766666666667,18951.7333333333,12270.2666666667,49,50,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Rosthern, Canada 2017","Ro17","Temperate",43.3333333333333,-24.3655431359289,5.82598840878695,736.633333333333,514.966666666667,1816.8,726.5,416.166666666667,468.2,19187.9666666667,12071.3333333333,44,43,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Sutherland, Canada 2016","Su16","Temperate",48,-22.3858998011931,6.02804500806491,795.533333333333,550.533333333333,1892.43333333333,769,426,473.6,18346.9333333333,12540.5666666667,47,47,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Sutherland, Canada 2017","Su17","Temperate",46.3333333333333,-23.1777571350874,6.28061575716236,725.866666666667,489.2,1822.96666666667,753.9,422.566666666667,456.633333333333,17627.6,11603.0666666667,47,47,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Sutherland, Canada 2018","Su18","Temperate",43,-23.1777571350874,5.80073133387721,754.3,534.3,1774.1,706,398,450.8,18216,12143.6,44,44,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Central Ferry, USA 2018","Us18","Temperate",55,-16.0510411300383,6.25535868225261,823.566666666667,543.566666666667,1722.43333333333,778.766666666667,386.766666666667,428.433333333333,13332.1333333333,11606.6666666667,58,59,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Bhopal, India 2016","In16","South Asia",70,-2.58946645383463,5.80073133387721,1203.9,848.9,1387.8,725.3,354.3,352.1,6897.2,12418.7333333333,57.3333333333333,57,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Bhopal, India 2017","In17","South Asia",64.3333333333333,-1.79760911994029,5.04301908658487,1376.26666666667,1049.6,1493.66666666667,698.566666666667,241.233333333333,369.133333333333,8451.7,14728.6,80,80,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Jessore, Bangladesh 2016","Ba16","South Asia",69.6666666666667,-2.19353778688746,5.54816058477976,1295.56666666667,942.233333333333,1450.53333333333,754.766666666667,260.1,362.633333333333,7448.1,13840.3333333333,88,87,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Jessore, Bangladesh 2017","Ba17","South Asia",77,-2.9853951207818,4.76519126257767,1555.06666666667,1165.06666666667,1787.96666666667,841.966666666667,295.966666666667,470.266666666667,10798.9,16805.2,78,76,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Bardiya, Nepal 2016","Ne16","South Asia",106.666666666667,-2.9853951207818,5.39661813532129,1884.6,1341.26666666667,2209.03333333333,1148.86666666667,388.2,562.433333333333,11476.2,19967.6666666667,90,90,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Bardiya, Nepal 2017","Ne17","South Asia",120.666666666667,-2.19353778688746,5.3461039855018,2271.66666666667,1668.33333333333,2536.33333333333,1278.56666666667,433.9,633.5,13336.5,24091.4666666667,86,92,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Cordoba, Spain 2016","Sp16","Mediterranean",117,-2.58946645383463,7.08884215427419,1396.9,806.9,1702.46666666667,1259.56666666667,433.566666666667,423.033333333333,6437.43333333333,15244.4,122,123,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Cordoba, Spain 2017","Sp17","Mediterranean",123.333333333333,-3.38132378772896,7.29089875355215,1350.1,728.4,1770.46666666667,1344.36666666667,474.066666666667,437.866666666667,6465.1,14827.8,126,127,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Marchouch, Morocco 2016","Mo16","Mediterranean",127.333333333333,-2.19353778688746,7.21512752882291,1472.96666666667,831.3,1754.46666666667,1355.6,457.233333333333,429.6,5936.66666666667,15622.1333333333,131,133,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Marchouch, Morocco 2017","Mo17","Mediterranean",120.666666666667,-4.96503845551764,7.2656416786424,1376.56666666667,768.233333333333,1980.6,1354.33333333333,502.666666666667,470.3,7825.6,15491.9,112,119,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Metaponto, Italy 2016","It16","Mediterranean",128,-2.19353778688746,7.56872657755934,1278.2,633.2,1561.2,1335.3,432.3,359,4704.9,13592.1,144,146,457.053141408288,1809.60441001799
311,"PI 508090 AGL","Metaponto, Italy 2017","It17","Mediterranean",138.666666666667,-2.19353778688746,7.41718412810087,1457.8,757.8,1764.9,1473.8,493.8,435.4,5735.4,15592.8,142,143,457.053141408288,1809.60441001799
312,"PI 518733 LSP AGL","Rosthern, Canada 2016","Ro16","Temperate",52,-32.427270033117,5.07797765810431,912.8,642.8,2663.9,816,461.333333333333,596.8,29520,13916.6666666667,53.3333333333333,53,604.49596296344,2697.30481253488
312,"PI 518733 LSP AGL","Rosthern, Canada 2017","Ro17","Temperate",52.3333333333333,-33.3196845330623,5.01074432650371,927.166666666667,660.5,2704.2,874.2,500.866666666667,606.966666666667,30775.7,15198.3,53,53,604.49596296344,2697.30481253488
312,"PI 518733 LSP AGL","Sutherland, Canada 2016","Su16","Temperate",57.3333333333333,-31.088648283199,5.19003321077196,968.866666666667,677.2,2782.33333333333,923.1,514.766666666667,620.366666666667,29660.2666666667,15402.6,56,56,604.49596296344,2697.30481253488
312,"PI 518733 LSP AGL","Sutherland, Canada 2017","Su17","Temperate",59.3333333333333,-31.9810627831443,5.41414431610727,934.566666666667,632.9,2864.1,968.2,545.866666666667,641.566666666667,30500.0333333333,15042.5666666667,57,56,604.49596296344,2697.30481253488
