"Entry","Name","Expt","ExptShort","DTF","RDTF","T_mean","P_mean","Predicted_RDTF","Predicted_DTF"
6,"CDC Glamis AGL","Marchouch, Morocco 2017","Mo17",120.666666666667,0.00828766666666667,11.8,11.5,0.00849585667042369,117.704433913211
6,"CDC Glamis AGL","Metaponto, Italy 2016","It16",131,0.00763733333333333,10.6,10.9,0.00746015650436905,134.045445214768
6,"CDC Glamis AGL","Metaponto, Italy 2017","It17",141,0.00709633333333333,11.2,10.8,0.0075905345493867,131.743027252382
7,"CDC Gold AGL","Rosthern, Canada 2016","Ro16",49.5,0.020204,17.2,16.1,0.0198298241069492,50.4290907779438
7,"CDC Gold AGL","Rosthern, Canada 2017","Ro17",51,0.019608,17.5,16.4,0.0206088450702796,48.5228549484377
7,"CDC Gold AGL","Sutherland, Canada 2016","Su16",54,0.0185356666666667,16.7,15.9,0.0191226079884163,52.2941222560101
7,"CDC Gold AGL","Sutherland, Canada 2017","Su17",54,0.018531,15.7,16.1,0.0188541554288468,53.0387056462896
7,"CDC Gold AGL","Sutherland, Canada 2018","Su18",47,0.021277,17.6,16.1,0.0200900024211098,49.7760019654968
7,"CDC Gold AGL","Central Ferry, USA 2018","Us18",58.5,0.0171055,15.8,14.3,0.0155548183503902,64.2887610432887
7,"CDC Gold AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.00994567946472144,100.546172189354
7,"CDC Gold AGL","Bhopal, India 2017","In17",73,0.0137216666666667,20.6,10.7,0.0107712767984535,92.8395044256568
7,"CDC Gold AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,0.0101603914434406,98.4214048805749
7,"CDC Gold AGL","Jessore, Bangladesh 2017","Ba17",86,0.0116323333333333,21.7,11,0.0118581553053507,84.3301486824663
7,"CDC Gold AGL","Bardiya, Nepal 2016","Ne16",125,0.0080045,19.2,11,0.0108109646304406,92.4986838995186
7,"CDC Gold AGL","Bardiya, Nepal 2017","Ne17",125.333333333333,0.00798766666666667,19.4,10.8,0.0104882275334374,95.3449948346292
7,"CDC Gold AGL","Cordoba, Spain 2016","Sp16",118.333333333333,0.008451,12.5,10.9,0.00783256743944861,127.67205743592
7,"CDC Gold AGL","Cordoba, Spain 2017","Sp17",129.333333333333,0.007732,11.7,11.1,0.00783768632495602,127.588673307312
7,"CDC Gold AGL","Marchouch, Morocco 2016","Mo16",129.666666666667,0.007712,12,10.8,0.00745574370096772,134.1247821958
7,"CDC Gold AGL","Marchouch, Morocco 2017","Mo17",125.666666666667,0.007958,11.8,11.5,0.00855501911830221,116.890445967636
7,"CDC Gold AGL","Metaponto, Italy 2016","It16",139.666666666667,0.007179,10.6,10.9,0.00704532962611168,141.938000500894
7,"CDC Gold AGL","Metaponto, Italy 2017","It17",147.666666666667,0.006773,11.2,10.8,0.007127907610971,140.293625363611
8,"CDC Imax AGL","Rosthern, Canada 2016","Ro16",46.6666666666667,0.021499,17.2,16.1,0.0209090484119446,47.8261841619122
8,"CDC Imax AGL","Rosthern, Canada 2017","Ro17",46.3333333333333,0.021585,17.5,16.4,0.0218852491345949,45.6928771452393
8,"CDC Imax AGL","Sutherland, Canada 2016","Su16",53,0.018882,16.7,15.9,0.0199874861160462,50.0313042968015
8,"CDC Imax AGL","Sutherland, Canada 2017","Su17",53,0.0188726666666667,15.7,16.1,0.0194466924379256,51.4226264025118
8,"CDC Imax AGL","Sutherland, Canada 2018","Su18",46,0.021746,17.6,16.1,0.0212990100050163,46.9505390046055
8,"CDC Imax AGL","Central Ferry, USA 2018","Us18",57.3333333333333,0.0174773333333333,15.8,14.3,0.0158569975744714,63.0636408502656
8,"CDC Imax AGL","Bhopal, India 2016","In16",83,0.012048,17.6,10.9,0.00937714270182449,106.642293052172
8,"CDC Imax AGL","Bhopal, India 2017","In17",NA,0.011765,20.6,10.7,0.00964524649897977,103.678013838814
8,"CDC Imax AGL","Jessore, Bangladesh 2016","Ba16",NA,0.009615,18.6,10.8,0.00940365677082724,106.341609904593
8,"CDC Imax AGL","Jessore, Bangladesh 2017","Ba17",93,0.010754,21.7,11,0.0107663710231096,92.8818074217895
8,"CDC Imax AGL","Bardiya, Nepal 2016","Ne16",123.333333333333,0.00811633333333333,19.2,11,0.010059077338733,99.4126962469456
8,"CDC Imax AGL","Bardiya, Nepal 2017","Ne17",128.666666666667,0.00777666666666667,19.4,10.8,0.00960828136915548,104.076885509432
8,"CDC Imax AGL","Cordoba, Spain 2016","Sp16",118.666666666667,0.008427,12.5,10.9,0.00800346223658915,124.945925955437
8,"CDC Imax AGL","Cordoba, Spain 2017","Sp17",126.666666666667,0.00789533333333333,11.7,11.1,0.00808640962328184,123.664277050827
8,"CDC Imax AGL","Marchouch, Morocco 2016","Mo16",127.333333333333,0.00785366666666667,12,10.8,0.00771550383461934,129.609163761026
8,"CDC Imax AGL","Marchouch, Morocco 2017","Mo17",120.666666666667,0.00828766666666667,11.8,11.5,0.00871833890283112,114.70074874874
8,"CDC Imax AGL","Metaponto, Italy 2016","It16",129.333333333333,0.007735,10.6,10.9,0.00749169892601128,133.481071500082
8,"CDC Imax AGL","Metaponto, Italy 2017","It17",138.666666666667,0.00721133333333333,11.2,10.8,0.00751087923629111,133.140204833569
9,"CDC Impower AGL","Rosthern, Canada 2016","Ro16",48.3333333333333,0.0206913333333333,17.2,16.1,0.0199859123265294,50.035244008981
9,"CDC Impower AGL","Rosthern, Canada 2017","Ro17",48.6666666666667,0.0205496666666667,17.5,16.4,0.0209526135942111,47.7267428000622
9,"CDC Impower AGL","Sutherland, Canada 2016","Su16",54.3333333333333,0.0184066666666667,16.7,15.9,0.0190034552391701,52.6220093879975
9,"CDC Impower AGL","Sutherland, Canada 2017","Su17",57,0.0175546666666667,15.7,16.1,0.018165376850191,55.049780042933
9,"CDC Impower AGL","Sutherland, Canada 2018","Su18",48.3333333333333,0.0206976666666667,17.6,16.1,0.020471388453553,48.848665163522
9,"CDC Impower AGL","Central Ferry, USA 2018","Us18",61,0.0163963333333333,15.8,14.3,0.0151706784116527,65.9166302827888
9,"CDC Impower AGL","Bhopal, India 2016","In16",NA,0.011628,17.6,10.9,0.00994154085936362,100.588028973208
9,"CDC Impower AGL","Bhopal, India 2017","In17",70,0.014286,20.6,10.7,0.0105332188045607,94.9377411173699
9,"CDC Impower AGL","Jessore, Bangladesh 2016","Ba16",84,0.011906,18.6,10.8,0.0100875912678665,99.1316929330248
9,"CDC Impower AGL","Jessore, Bangladesh 2017","Ba17",87.6666666666667,0.0114453333333333,21.7,11,0.0117069348751754,85.4194552769322
9,"CDC Impower AGL","Bardiya, Nepal 2016","Ne16",118,0.00852266666666667,19.2,11,0.01075394893207,92.9890969649145
9,"CDC Impower AGL","Bardiya, Nepal 2017","Ne17",123.333333333333,0.008114,19.4,10.8,0.0103664292499639,96.4652317482877
9,"CDC Impower AGL","Cordoba, Spain 2016","Sp16",116.666666666667,0.008574,12.5,10.9,0.00808069912946045,123.751668510243
9,"CDC Impower AGL","Cordoba, Spain 2017","Sp17",129.333333333333,0.007732,11.7,11.1,0.00800117981799333,124.981568062146
9,"CDC Impower AGL","Marchouch, Morocco 2016","Mo16",128.333333333333,0.007792,12,10.8,0.00778717791556218,128.41622611467
9,"CDC Impower AGL","Marchouch, Morocco 2017","Mo17",122.333333333333,0.00817466666666667,11.8,11.5,0.00847221584157956,118.03287577876
9,"CDC Impower AGL","Metaponto, Italy 2016","It16",134.666666666667,0.00742566666666667,10.6,10.9,0.00738744436733966,135.364809570825
9,"CDC Impower AGL","Metaponto, Italy 2017","It17",143.333333333333,0.00698133333333333,11.2,10.8,0.00750833993346469,133.185232536289
10,"CDC KR-1 AGL","Rosthern, Canada 2016","Ro16",50.3333333333333,0.0198796666666667,17.2,16.1,0.0193353026590386,51.7188697603621
10,"CDC KR-1 AGL","Rosthern, Canada 2017","Ro17",49.6666666666667,0.0201413333333333,17.5,16.4,0.020178694683205,49.5572194187722
10,"CDC KR-1 AGL","Sutherland, Canada 2016","Su16",55.6666666666667,0.0179653333333333,16.7,15.9,0.0184225862875999,54.2811950715678
10,"CDC KR-1 AGL","Sutherland, Canada 2017","Su17",57,0.0175546666666667,15.7,16.1,0.0174816000078709,57.2030019877907
10,"CDC KR-1 AGL","Sutherland, Canada 2018","Su18",49.6666666666667,0.020136,17.6,16.1,0.0198296233660166,50.4296012860117
10,"CDC KR-1 AGL","Central Ferry, USA 2018","Us18",67.3333333333333,0.0148633333333333,15.8,14.3,0.0151572315660912,65.9751086891842
10,"CDC KR-1 AGL","Bhopal, India 2016","In16",68.3333333333333,0.0150626666666667,17.6,10.9,0.0115710695694037,86.4224343308939
10,"CDC KR-1 AGL","Bhopal, India 2017","In17",58.3333333333333,0.0172496666666667,20.6,10.7,0.012906930478045,77.4777552029912
10,"CDC KR-1 AGL","Jessore, Bangladesh 2016","Ba16",73,0.0137006666666667,18.6,10.8,0.0119760955341861,83.4996679130917
10,"CDC KR-1 AGL","Jessore, Bangladesh 2017","Ba17",75,0.0133626666666667,21.7,11,0.0141456128001738,70.6932965101174
10,"CDC KR-1 AGL","Bardiya, Nepal 2016","Ne16",120.666666666667,0.008317,19.2,11,0.0126726098193644,78.9103439823383
10,"CDC KR-1 AGL","Bardiya, Nepal 2017","Ne17",121.666666666667,0.00822233333333333,19.4,10.8,0.012427170979806,80.4688373262898
