"Entry","Name","a","b","c","RR","Environments","aP","bP","cP"
93,"ILL 5883 AGL",-0.0211386279393998,0.000265796875195395,0.00242617614175506,0.862834139885262,17,7.91786691347755e-24,3.57826555325328e-06,4.95279333036946e-35
94,"ILL 5888 AGL",-0.0146965106533019,0.00143241681362331,0.000903227270714473,0.833405664685111,18,2.54783718823109e-05,3.02163665617672e-13,5.97877750487907e-05
95,"ILL 5945 AGL",-0.0196909161993515,0.000453155121530744,0.00221171182217481,0.778215302794426,18,9.4622440337169e-15,9.57211658537854e-07,1.30454463335622e-24
96,"ILL 6002 AGL",-0.015005494318884,0.000712459710795806,0.00156302238199855,0.768708966335926,18,2.23789594562274e-09,4.7616972970781e-10,5.14471046310191e-16
97,"ILL 618 AGL",-0.0226886972021371,0.000468460808480405,0.0022895875887102,0.888383137191991,18,1.54534007484751e-23,3.02793270338844e-11,6.82758056730414e-32
98,"ILL 6182 AGL",-0.0196391067441825,0.000274830416614088,0.00230511610843858,0.878645447278257,17,2.55100296334517e-22,4.75541991890027e-06,3.19160082208951e-33
99,"ILL 6211 AGL",-0.0143353877234848,0.000642615610023463,0.00154586105012304,0.757856943004454,18,4.29984947808233e-10,2.90462321443647e-10,3.30048740594581e-17
100,"ILL 624 AGL",-0.0197562569122338,0.000382710972640678,0.00209937440561546,0.888368716506725,17,4.97612049190755e-24,1.26945699622743e-10,2.2288404653881e-33
101,"ILL 6821 AGL",-0.0207764931048513,0.000180116673610184,0.00248443761119751,0.905588536085095,14,2.05478548983199e-24,0.000659071670470651,4.04880985323108e-37
102,"ILL 6853 AGL",-0.0181023949062663,0.00021421429018847,0.00220830850381165,0.860642463686354,16,1.35344660680466e-19,0.00045949984690143,4.60543003383535e-31
103,"ILL 7089 AGL",-0.0237967961703435,0.000495187130771283,0.00236495418588766,0.886848338954084,17,5.96418363853386e-24,2.83582097457722e-11,7.11742737685482e-32
104,"ILL 7558 AGL",-0.0149310823454035,0.00061995399408683,0.00161529312348256,0.772948040888351,18,1.65557633073136e-10,3.7778905145767e-09,8.34848329579977e-18
105,"ILL 7663 AGL",-0.0146714114857404,0.00120122543774318,0.0010986929841467,0.777568626740221,18,1.9927888282712e-05,3.98793765481331e-11,1.55796650311081e-06
106,"ILL 7668 AGL",-0.0191238263712611,0.000476742556525433,0.00207692669578345,0.847565137014326,18,1.90749858351452e-18,1.15678212795151e-09,4.78321723456415e-28
107,"ILL 7716 AGL",-0.0146387984834282,0.00073544784475078,0.00148193711141799,0.767346377403458,18,5.41080530263389e-09,2.06819010517093e-10,7.40929833116259e-15
108,"ILL 7747 AGL",-0.0194253505995584,0.000210756434168666,0.00231843343422175,0.891940111109515,15,9.39082653246156e-23,0.000212335886028863,1.62078547170887e-34
