"Entry","Name","a","b","c","RR","Environments"
167,"PI 297754 LSP AGL",-0.021606232020591,0.000416758404199709,0.00220793740659819,0.908541479240445,18
168,"PI 297767 AGL",-0.0186588314401134,0.000278911810606936,0.0021083361803794,0.904219031998122,18
169,"PI 297772 LSP AGL",-0.0188293634433874,0.000217702058274883,0.00223187956847754,0.883970381576619,18
170,"PI 297783 AGL",-0.0208609319334038,0.000520911606904525,0.00224265575259041,0.789784504468004,18
171,"PI 297787 LSP AGL",-0.0226427162933721,0.000402670674914306,0.00233585294665574,0.916263780623004,18
172,"PI 298023 LSP AGL",-0.0235520634015196,0.000485013519330147,0.00234537338539821,0.897400647946047,18
173,"PI 298121 LSP AGL",-0.0203244887734743,0.000557884412499998,0.00201976359081746,0.756522654695524,18
174,"PI 298122 LSP AGL",-0.018807786926827,0.000386014268979355,0.0020062417496772,0.903043236955625,18
175,"PI 298357 LSP AGL",-0.0229516460812199,0.00053848432624815,0.00224255267486591,0.836864868505407,18
176,"PI 298631 LSP AGL",-0.0176135544216575,0.000372743826616048,0.00188976592516891,0.882882840500065,18
177,"PI 298644 LSP AGL",-0.0161000467555376,0.000356925805894411,0.00178508180415297,0.814924358449779,18
178,"PI 298645 AGL",-0.0186780595637616,0.000352709649074115,0.00204631355053636,0.873533885552656,18
179,"PI 298921 AGL",-0.0185243666819379,0.000227269366792418,0.00221041073152091,0.917702820157672,18
180,"PI 298922 LSP AGL",-0.0203479719629292,0.000330824362396125,0.00218391207258324,0.919451871288177,18
181,"PI 298923 LSP AGL",-0.0233777401220667,0.000422889427105487,0.00237865460032664,0.892703754961044,18
182,"PI 299116 LSP AGL",-0.0215137414583074,0.000397322888169298,0.00228346922588771,0.89218630957028,18
183,"PI 299120 LSP AGL",-0.0197751478843949,0.00051421407531561,0.00204763430598212,0.782731169180323,18
184,"PI 299121 LSP AGL",-0.0200193852685803,0.00042342856520237,0.00219499198841,0.807226651020556,18
185,"PI 299126 LSP AGL",-0.0219950254873715,0.00028181249288642,0.002500982751221,0.923031510275722,18
186,"PI 299163 LSP AGL",-0.0196112384438167,0.000287596126723589,0.00219483315652487,0.848735888533923,18
187,"PI 299164 LSP AGL",-0.0206729270229064,0.000326371871042365,0.00227003141556169,0.888256669390989,18
188,"PI 299165 AGL",-0.0198205728334926,0.000249056333877723,0.00226586254155864,0.908641285279404,18
189,"PI 299177 LSP AGL",-0.0215556755537716,0.000286125404239255,0.00236889850898116,0.927800233267809,18
190,"PI 299237 LSP AGL",-0.0201862367757591,0.000433011054925229,0.00212183896691195,0.841071821668752,18
191,"PI 299289 AGL",-0.0187639486848802,0.000427893576259793,0.00196659015225898,0.883360705906392,18
192,"PI 299312 AGL",-0.0177489903456568,0.000345993235384314,0.00196538188146409,0.845012215879999,18
193,"PI 299345 AGL",-0.0178222798765997,0.0002528717765067,0.00208943492759332,0.877789465853983,18
194,"PI 299351 LSP AGL",-0.0210035148428285,0.000394787443791413,0.00220842740531735,0.859900860083443,18
195,"PI 299366 LSP AGL",-0.0175835092943151,0.000194223351920795,0.00217726983321083,0.831035748551816,18
196,"PI 299375 LSP AGL",-0.0208555823076871,0.000292386883004097,0.00231343375461661,0.883117026020993,18
